M,0.9,1.0,1.2,1.5,1.8,1.9,2.0,2.2,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,8.0
Mrem,4.7300e-01,7.2000e-01,6.6800e-01,6.6100e-01,6.6400e-01,6.8100e-01,6.8500e-01,7.1300e-01,7.3200e-01,8.1300e-01,8.5400e-01,8.7400e-01,8.9700e-01,9.2900e-01,9.6600e-01,1.0080e+00,1.0500e+00,1.0100e+00,1.1200e+00
H,0.0000e+00,-5.6676e-03,-3.0011e-02,-5.9400e-02,-1.1417e-01,-1.4080e-01,-1.7225e-01,-2.1532e-01,-1.7496e-01,-1.0243e-01,-1.5454e-01,-2.3705e-01,-2.9232e-01,-3.6892e-01,-4.5549e-01,-5.5583e-01,0.0000e+00,0.0000e+00,0.0000e+00
He,0.0000e+00,5.3918e-03,2.6128e-02,4.6816e-02,8.8105e-02,1.0708e-01,1.3061e-01,1.5813e-01,1.2774e-01,7.6712e-02,1.2693e-01,2.0338e-01,2.6487e-01,3.4199e-01,4.2286e-01,5.1817e-01,0.0000e+00,0.0000e+00,0.0000e+00
Li,0.0000e+00,1.0834e-10,1.0813e-10,1.1870e-10,9.6816e-11,6.6302e-11,1.4505e-11,-6.2395e-11,-6.0444e-11,6.1157e-08,6.1529e-09,1.6097e-09,1.3288e-09,7.2333e-10,6.8215e-11,-1.0429e-10,0.0000e+00,0.0000e+00,0.0000e+00
Be,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
B,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
C,0.0000e+00,2.5898e-04,3.7033e-03,1.1711e-02,2.3389e-02,2.9691e-02,3.6110e-02,4.8517e-02,4.2083e-02,2.4036e-02,6.3731e-03,5.4253e-03,3.7935e-03,3.0307e-03,3.0091e-03,2.2519e-03,0.0000e+00,0.0000e+00,0.0000e+00
N,0.0000e+00,4.1061e-06,1.9604e-05,4.0597e-05,5.4356e-05,6.3935e-05,7.1346e-05,7.2241e-05,3.8377e-05,8.1023e-05,1.9821e-02,2.6448e-02,2.2479e-02,2.2889e-02,2.8427e-02,3.3799e-02,0.0000e+00,0.0000e+00,0.0000e+00
O,0.0000e+00,1.1706e-05,9.3132e-05,2.7533e-04,4.2947e-04,4.7234e-04,5.1265e-04,6.2503e-04,5.8006e-04,4.1520e-04,5.1544e-04,6.4929e-04,4.7544e-04,3.8264e-04,3.7138e-04,6.3774e-04,0.0000e+00,0.0000e+00,0.0000e+00
