M,20.,25.,30.,40.,100.,140.
Mrem,1.8800e+00,2.8000e+00,3.2700e+00,5.5300e+00,1.5280e+01,1.8860e+01
H,8.7742e+00,1.0639e+01,1.1693e+01,1.4028e+01,2.6807e+01,3.1500e+01
He,5.9554e+00,8.0252e+00,9.5382e+00,1.1809e+01,3.0829e+01,3.7813e+01
Li,2.7860e-10,5.6776e-09,2.3600e-08,3.4212e-11,3.9669e-10,5.2980e-10
Be,4.8298e-20,3.6921e-17,3.0864e-18,9.0279e-18,6.4213e-21,0.0000e+00
B,1.0885e-15,1.3521e-12,1.0580e-13,9.5036e-13,1.6674e-12,1.9342e-12
C,1.9021e-01,2.6659e-01,3.1640e-01,3.7206e-01,8.7812e-01,1.0640e+00
N,5.4275e-05,5.9606e-04,4.2007e-05,4.0422e-06,1.6385e-04,2.2254e-04
O,2.0306e+00,2.3763e+00,3.9195e+00,6.3162e+00,1.8926e+01,2.3556e+01
F,2.1180e-09,1.6727e-09,7.8833e-09,1.1650e-07,1.7750e-06,2.3840e-06
Ne,7.4952e-01,2.8507e-01,5.1995e-01,2.6387e-01,1.4547e+00,1.8920e+00
Na,2.3077e-03,4.4177e-04,7.3581e-04,3.2755e-04,2.7233e-03,3.6030e-03
Mg,1.6566e-01,1.5294e-01,2.1734e-01,3.3775e-01,1.3180e+00,1.6780e+00
Al,1.5029e-03,8.9277e-04,1.5494e-03,7.5238e-03,1.7929e-02,2.1750e-02
Si,1.0297e-01,2.3113e-01,2.4761e-01,7.2610e-01,2.3602e+00,2.9602e+00
P,7.6740e-05,5.9087e-05,1.1554e-04,1.0101e-03,1.9270e-03,2.2637e-03
S,4.3032e-02,9.1960e-02,8.5473e-02,2.6215e-01,1.0219e+00,1.3009e+00
Cl,5.8321e-05,6.1227e-05,6.8682e-05,2.5929e-04,1.0823e-03,1.3846e-03
Ar,6.9296e-03,1.3770e-02,1.1565e-02,3.6308e-02,1.5204e-01,1.9454e-01
K,2.6848e-05,4.4090e-05,2.4206e-05,1.5221e-04,5.6659e-04,7.1876e-04
Ca,4.8997e-03,1.0283e-02,8.4076e-03,2.8776e-02,1.1273e-01,1.4356e-01
Sc,1.8464e-07,2.2008e-07,6.9513e-08,6.2758e-07,2.3168e-06,2.9371e-06
Ti,1.7633e-04,1.5377e-04,3.1395e-04,3.8673e-04,1.4451e-03,1.8337e-03
V,2.4232e-05,1.8586e-05,3.7140e-05,3.4789e-05,2.6046e-05,2.2835e-05
Cr,7.0783e-04,1.3079e-03,1.6223e-03,2.8743e-03,9.1329e-03,1.1431e-02
Mn,8.2184e-05,2.0158e-04,2.4672e-04,3.6821e-04,9.8663e-04,1.2137e-03
Fe,8.4903e-02,9.9450e-02,1.6405e-01,2.6318e-01,7.9263e-01,9.8705e-01
Co,3.6948e-04,2.3813e-04,5.1888e-04,5.1942e-04,3.9687e-04,3.5187e-04
Ni,3.9705e-03,3.5467e-03,6.9037e-03,9.9702e-03,2.7741e-02,3.4267e-02
Cu,1.2504e-05,8.7885e-06,1.8533e-05,2.2480e-05,4.8093e-05,5.7499e-05
Zn,3.8522e-04,2.6645e-04,5.9026e-04,6.9578e-04,2.0937e-03,2.6071e-03
Ga,1.7706e-08,2.1084e-08,4.0772e-08,8.9695e-08,6.9710e-07,9.2020e-07
Ge,2.4164e-08,1.4407e-08,2.9546e-08,3.7693e-08,1.3403e-07,1.6944e-07
