M,20.,25.,30.,40.
Mrem,2.2300e+00,1.9700e+00,4.0500e+00,4.5100e+00
H,8.9473e+00,1.0165e+01,1.0136e+01,1.0290e+01
He,7.0259e+00,8.4935e+00,7.9333e+00,8.1237e+00
Li,4.3197e-13,1.0275e-13,8.0173e-13,4.6212e-12
Be,6.2718e-16,3.9348e-16,1.8752e-16,9.4849e-18
B,2.8174e-09,1.6995e-10,1.6721e-10,3.4900e-11
C,8.3526e-02,1.2824e-01,1.3630e-01,3.7337e-01
N,1.8449e-02,3.1577e-02,2.0054e-02,2.5228e-02
O,7.8901e-01,2.0675e+00,3.8236e+00,6.8032e+00
F,4.8688e-06,8.4781e-05,5.5723e-06,8.5037e-06
Ne,1.4354e-01,6.3943e-01,4.9562e-01,1.1518e+00
Na,2.0455e-03,4.6792e-03,6.5581e-03,1.3184e-02
Mg,8.4296e-02,2.3706e-01,2.0194e-01,4.2110e-01
Al,3.6360e-03,1.0443e-02,1.1785e-02,2.2852e-02
Si,1.0744e-01,1.2683e-01,3.6602e-01,5.8824e-01
P,4.6830e-04,5.2936e-04,1.3509e-03,2.0013e-03
S,3.4666e-02,4.1717e-02,1.5953e-01,2.3849e-01
Cl,9.8471e-05,1.1523e-04,3.9594e-04,5.7369e-04
Ar,4.8280e-03,6.3961e-03,2.4573e-02,3.6487e-02
K,4.7576e-05,4.6198e-05,1.9139e-04,2.3785e-04
Ca,3.1067e-03,4.8077e-03,1.6850e-02,2.5744e-02
Sc,6.0850e-07,6.1209e-07,1.5212e-06,1.7904e-06
Ti,5.7331e-05,1.8177e-04,2.7127e-04,4.8396e-04
V,3.1823e-06,2.2622e-05,2.1812e-05,2.7441e-05
Cr,3.0776e-04,9.2686e-04,1.8748e-03,3.5727e-03
Mn,9.0507e-05,1.6684e-04,3.2565e-04,5.8070e-04
Fe,3.2936e-02,8.6512e-02,1.5954e-01,2.8499e-01
Co,4.9039e-05,3.6698e-04,3.3060e-04,4.4650e-04
Ni,1.5977e-03,4.2351e-03,6.5388e-03,1.1035e-02
Cu,1.6366e-05,7.0728e-05,9.6222e-05,2.0369e-04
Zn,6.6869e-05,4.1157e-04,5.5271e-04,1.0121e-03
Ga,2.4562e-06,9.3430e-06,2.4221e-05,5.5875e-05
Ge,6.5625e-06,3.6601e-05,1.2486e-04,2.7900e-04
