M,0.837,0.868,0.934,1.005,1.082,1.163,1.248,1.334,1.42,1.504,1.588,1.672,1.756,1.839,1.923,2.0,2.2,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,9.0,12.0,15.0,20.0,30.0,40.0,60.0,100.0
Mrem,0.5406,0.5559,0.5353,0.545,0.5452,0.5572,0.5605,0.568,0.5848,0.5829,0.58,0.592,0.595,0.615,0.616,0.627,0.651,0.685,0.786,0.843,0.902,0.958,0.997,1.3,1.3,1.306,1.44,1.875,2.107,7.184,2.059,2.09,2.119
H,0.2045,0.2154,0.275,0.3172,0.3703,0.418,0.4746,0.5316,0.5796,0.6299,0.6815,0.7243,0.7728,0.8078,0.856,0.8918,0.9908,1.144,1.384,1.709,2.037,2.305,2.525,3.05,3.472,4.225,5.272,6.263,7.865,10.44,12.76,16.86,24.6
He,0.08597,0.0904,0.1157,0.1336,0.1557,0.1756,0.1991,0.2191,0.2389,0.2697,0.3008,0.3261,0.3548,0.3791,0.4102,0.4359,0.5044,0.6045,0.7458,0.8627,0.979,1.152,1.381,1.55,2.112,2.94,3.886,4.613,5.898,8.131,18.8,31.76,54.84
C,0.0009947,0.001043,0.001328,0.001519,0.001738,0.001867,0.002115,0.002296,0.002492,0.005636,0.008165,0.01041,0.01307,0.01549,0.01799,0.02079,0.0261,0.03373,0.04385,0.03744,0.02706,0.0231,0.02157,0.008821,0.009201,0.03051,0.07698,0.1231,0.126,0.1361,1.485,2.421,5.623
N,0.0003385,0.0003615,0.0004667,0.0005556,0.0006879,0.0008869,0.001011,0.001198,0.00132,0.001539,0.001869,0.002168,0.002318,0.002522,0.002787,0.002984,0.003603,0.004479,0.005701,0.007049,0.008527,0.01064,0.01749,0.01751,0.02615,0.03875,0.05263,0.06437,0.08514,0.1238,0.2045,0.3329,0.6645
O,0.002853,0.003004,0.003837,0.004427,0.005166,0.00583,0.006616,0.007371,0.008037,0.009011,0.009969,0.01073,0.01162,0.01228,0.0131,0.01379,0.01547,0.01803,0.02193,0.02543,0.02863,0.03162,0.03453,0.03937,0.04432,0.1705,0.7018,1.26,2.747,3.055,2.017,2.608,4.181
Ne,0.0005388,0.0005673,0.0007247,0.0008362,0.0009758,0.001101,0.00125,0.001392,0.001518,0.001674,0.001832,0.001963,0.00211,0.002225,0.002376,0.002496,0.002816,0.003299,0.004024,0.00483,0.005631,0.006438,0.007276,0.001621,0.001954,0.02162,0.1259,0.1786,0.218,0.5056,0.4202,0.4789,1.076
Mg,0.0001738,0.000183,0.0002337,0.0002697,0.0003147,0.0003551,0.000403,0.0004491,0.0004896,0.00054,0.0005909,0.0006331,0.0006806,0.0007176,0.0007662,0.0008049,0.0009081,0.001064,0.001298,0.001558,0.001816,0.002076,0.002347,0.002755,0.003342,0.007521,0.02896,0.03766,0.07115,0.1263,0.04298,0.06258,0.1416
Si,0.0002209,0.0002326,0.0002971,0.0003428,0.0004001,0.0004515,0.0005124,0.0005709,0.0006224,0.0006865,0.0007512,0.0008049,0.0008653,0.0009122,0.0009741,0.001023,0.001154,0.001353,0.00165,0.00198,0.002309,0.00264,0.002983,0.003503,0.004248,0.07687,0.112,0.2139,0.3363,0.04285,0.3019,0.3659,0.3799
S,0.0001189,0.0001252,0.0001599,0.0001845,0.0002153,0.000243,0.0002757,0.0003072,0.000335,0.0003694,0.0004043,0.0004332,0.0004657,0.0004909,0.0005242,0.0005507,0.0006213,0.000728,0.000888,0.001066,0.001243,0.001421,0.001606,0.001885,0.002286,0.06229,0.06121,0.09466,0.1563,0.009151,0.1545,0.1812,0.1766
Ca,2.142e-05,2.255e-05,2.881e-05,3.324e-05,3.878e-05,4.377e-05,4.967e-05,5.535e-05,6.034e-05,6.655e-05,7.283e-05,7.803e-05,8.388e-05,8.844e-05,9.443e-05,9.92e-05,0.0001119,0.0001311,0.00016,0.000192,0.0002238,0.0002559,0.0002892,0.0003396,0.0004118,0.0119,0.01051,0.01048,0.01704,0.001649,0.01579,0.01942,0.02253
Fe,0.0003917,0.0004125,0.0005269,0.0006079,0.0007094,0.0008006,0.0009086,0.001012,0.001104,0.001217,0.001332,0.001427,0.001534,0.001618,0.001727,0.001815,0.002047,0.002399,0.002926,0.003511,0.004094,0.004681,0.00529,0.006211,0.007533,0.02898,0.06108,0.04995,0.09447,0.01508,0.06923,0.1213,0.1328
Other,0.00027828000000007513,0.0003483499999999973,0.00039719000000004723,0.00042405999999983734,0.0005540199999998219,0.0006211300000000808,0.0006586299999999934,0.0006484500000001336,0.0007216599999999573,0.000760550000000082,0.000713769999999947,0.0009527699999998251,0.0006525200000000453,0.0007558600000001636,0.0004610699999996193,0.0009471999999999259,0.0009687000000000445,0.0012869000000002018,0.0017730000000000246,0.0022440000000001348,0.002466199999999752,0.0021280999999993,0.003618799999999034,0.017984400000000456,0.01655420000000074,0.0800590000000021,0.17092999999999847,0.21627999999999936,0.2785999999999973,0.22946999999999917,1.6698999999999984,2.6988000000000056,6.04307
