M,Z=0.02,Z=0.01,Z=0.002,Z=0.0002
C,0.0030424874,0.0031012084699999997,0.00315015191,0.0031600009290000002
N,3.2136700000000003e-06,1.8020699999999999e-06,4.7398e-07,1.595e-07
O,0.10100041653000001,0.09870028623,0.09640009441,0.09470000642300001
F,4.39e-11,2.2e-11,1.48e-11,4.79e-11
Ne,0.003571111,0.003616697,0.0036923447,0.00374017793
Na,3.740427e-05,2.630443e-05,1.96046e-05,1.720784e-05
Mg,0.0153615,0.0202753,0.02691796,0.029001939
Al,0.0006745680000000001,0.000588373,0.00026827000000000003,8.7193e-05
Si,0.28739000946999993,0.29191800158000003,0.29457400001529993,0.28915340000000456
P,0.000577872,0.000358328,0.0001050376,3.54002764e-05
S,0.115379786,0.11409912520000001,0.11236400522000001,0.1150528400426
Cl,0.000213877,0.000122081,3.5575900000000006e-05,9.170847e-06
Ar,0.01964431811,0.019353502925999997,0.01932811012887,0.020408910001521105
K,0.0001131381,6.63648e-05,2.0321299999999998e-05,4.062058e-06
Ca,0.014757631248507848,0.01573137350224504,0.01661530622059285,0.01771328693058682
Sc,2.05e-07,1.43e-07,7.69e-08,3.94e-08
Ti,0.00037194499999999994,0.000384329,0.00039921,0.000407094
V,0.00010545376000000001,7.675521000000001e-05,4.004e-05,2.629558e-05
Cr,0.010610150999999998,0.010622460000000002,0.01071163,0.010760519999999999
Mn,0.00962841,0.01137405,0.00894986,0.00804121
Fe,0.7510702031400001,0.755525503057,0.7600182029979999,0.7622880029860001
Co,0.0129263703,0.010793289900000001,0.008411439599999999,0.0078488296
Ni,0.6962806559,0.7093014544,0.7191532534,0.7229261531000001
Cu,4.582e-07,4.1679999999999997e-07,3.396e-06,1.3045e-05
Zn,0.00032511254900223,0.00022765192400216,9.683041300209999e-05,7.693843400209e-05
