M,Z=0.02,Z=0.01,Z=0.002,Z=0.0002
C,2.47e-06,1.2e-06,1.5e-07,6.57e-10
Na,4.27e-09,4.43e-09,4.6e-09,7.84e-09
Al,5.68e-07,3.73e-07,2.7e-07,9.3e-08
Si,9.47e-09,1.58e-09,1.53e-11,4.58e-15
P,8.72e-07,3.2799999999999997e-07,3.76e-08,2.764e-10
S,5.39e-07,8.66e-08,3.58e-09,2.53e-11
Cl,7.77e-07,2.81e-07,3.59e-08,8.47e-10
Ar,3.43129e-05,2.250246e-05,9.110119e-06,3.51000147e-06
K,5.81e-08,1.48e-08,1.3e-09,5.8e-11
Ca,6.07e-06,3.85e-06,1.42e-06,4.92e-07
Ti,9.98e-06,1.08e-05,1.18e-05,1.27e-05
V,4.482e-07,2.522e-07,1.377e-07,9.33e-08
Cr,0.00034889000000000003,0.00036876,0.00038913,0.00039712
Mn,0.00033841,0.00027404999999999997,0.00021986,0.00020121
Fe,0.01079000314,0.010947003057,0.011141002998,0.011211002986
Co,0.0123923703,0.0102842899,0.0079714396,0.0070958296
Ni,0.6222930176,0.6450800172000001,0.6626630169,0.6673140168
Zn,0.000322000735,0.000224000846,7.890099499999999e-05,5.010111e-05
