M,W7,W70,WDD1,WDD2,WDD3,CDD1,CDD2
C,0.0483014,0.050800001559999995,0.005420506,0.00899033,0.016600317,0.009930846,0.005080416
N,1.16132e-06,4.461e-07,0.000284999,0.00026953199999999995,0.00018212100000000001,9.0853e-05,9.0547e-05
O,0.143000036225,0.133000000602,0.088204458,0.065805215,0.055803839,0.093401163,0.058301201999999996
F,5.67e-10,1.37e-10,1.7e-09,4.5e-10,2.3e-10,5.83e-10,4.24e-10
Ne,0.00451846,0.0022900496,0.0014525999999999999,0.00104439,0.00128172,0.0016046300000000001,0.00081799
Na,6.32e-05,1.41e-05,8.77e-05,2.61e-05,3.01e-05,5.1e-05,3.5e-05
Mg,0.008572300000000001,0.015800351,0.0076948,0.0045225,0.0026609,0.0078181,0.0042622
Al,0.000986,0.000113,0.000438,0.000247,0.000141,0.000445,0.000235
Si,0.156598,0.14212909999999998,0.273577,0.206981,0.158601,0.278602,0.198936
P,0.000357,9.12e-05,0.000238,0.00016,0.000107,0.00024,0.000152
S,0.087004418,0.0914781000341,0.163034223,0.124232131,0.09529407440000001,0.16604122200000002,0.11907912500000001
Cl,0.0001737,1.616e-05,0.00012220000000000002,9.329999999999999e-05,7.04e-05,0.0001189,8.669999999999999e-05
Ar,0.0156500187,0.01910066000342,0.03233000781,0.02509000519,0.019444003560000003,0.03300000756,0.02432600482
K,7.840999999999999e-05,2.153e-06,7.303e-05,6.122e-05,4.8820000000000004e-05,6.91e-05,5.765e-05
Ca,0.011936323160000002,0.01811387578,0.03104700101,0.02435686673,0.01886787247,0.0318434524144,0.023860097673000003
Sc,2.21e-07,3.85e-08,2.49e-07,2.09e-07,1.76e-07,2.47e-07,2.02e-07
Ti,0.00034291,0.000420697,0.001128665,0.00101866,0.0009210500000000001,0.000818193,0.00074695
V,7.49155e-05,4.27122e-05,0.00013300974,0.00011600933,0.00010200907,0.00011100494000000001,0.000109012
Cr,0.008479,0.0092665,0.020503999999999998,0.017033,0.014353999999999999,0.018770000000000002,0.016468
Mn,0.00887,0.00666,0.00848,0.00705,0.00616,0.0081,0.00677
Fe,0.7490300000000001,0.77516,0.6718299999999999,0.79203,0.87034,0.6479629999999998,0.83446
Co,0.00104,0.000968,0.000395,0.000625,0.000775,0.000291,0.000635
Ni,0.125722,0.1001815,0.038152,0.058679,0.072684,0.03500347,0.061836289999999995
Cu,3.004e-06,3.833e-06,3.4780000000000004e-06,6.92e-06,9.299999999999999e-06,7.28e-07,6.02e-06
Zn,2.8233200000000003e-05,7.637857999999999e-05,2.60194e-05,9.594309999999999e-05,0.00016232119999999998,4.71477e-06,0.0001007704
