M,11.0,13.0,15.0,18.0,20.0,25.0,30.0,40.0,100.0,140.0
Mrem,1.5000e+00,1.5700e+00,1.4800e+00,1.6500e+00,1.6600e+00,1.9200e+00,2.0700e+00,2.8900e+00,1.0430e+01,1.3199e+01
H,5.8042e+00,6.5948e+00,7.5791e+00,8.4311e+00,8.7742e+00,1.0639e+01,1.1693e+01,1.4028e+01,2.6807e+01,3.1500e+01
He,3.4276e+00,4.0136e+00,4.4008e+00,5.4219e+00,5.9363e+00,8.0270e+00,9.5221e+00,1.1893e+01,3.0790e+01,3.7729e+01
Li,5.9255e-10,2.1747e-10,2.9423e-10,7.3410e-11,2.7861e-10,5.6774e-09,2.3600e-08,3.7587e-11,4.1550e-10,5.5427e-10
Be,3.3171e-23,1.7735e-20,3.2153e-22,1.0538e-22,4.4857e-23,1.2403e-17,1.2594e-20,5.3272e-20,4.4509e-18,6.0658e-18
B,2.7966e-15,2.9406e-16,3.2977e-16,7.1387e-16,6.5606e-17,9.4844e-16,3.2679e-15,3.0751e-14,7.4666e-10,1.0208e-09
C,5.5262e-02,7.4066e-02,1.7161e-01,2.1849e-01,2.1055e-01,2.9357e-01,3.3746e-01,4.2870e-01,1.0791e+00,1.3179e+00
N,2.1180e-03,1.8323e-03,1.8581e-03,1.8915e-04,5.4237e-05,5.9136e-04,1.6545e-06,1.2185e-06,1.7947e-04,2.4493e-04
O,1.1344e-01,4.4963e-01,7.7273e-01,1.3788e+00,2.1053e+00,2.7910e+00,4.8120e+00,8.3820e+00,2.2637e+01,2.7872e+01
F,1.6106e-08,1.1701e-10,1.9716e-09,7.9096e-09,1.6245e-09,1.7101e-09,8.9387e-10,2.3819e-10,2.3685e-07,3.2374e-07
Ne,2.1787e-02,1.5287e-02,3.2655e-01,4.9391e-01,9.1220e-01,5.3304e-01,8.5085e-01,3.0726e-01,1.9796e+00,2.5937e+00
Na,1.3683e-05,1.4409e-04,2.4470e-03,2.0781e-03,2.9023e-03,1.0266e-03,1.4159e-03,1.8427e-04,4.9877e-03,6.7516e-03
Mg,2.8208e-02,8.6424e-02,6.8908e-02,1.5836e-01,1.5061e-01,1.1981e-01,2.2685e-01,4.7842e-01,1.7037e+00,2.1537e+00
Al,7.2545e-04,3.7764e-03,1.3693e-03,3.1421e-03,1.3667e-03,8.0797e-04,2.6266e-03,1.4684e-02,2.9723e-02,3.5245e-02
Si,2.0718e-02,8.2552e-02,7.3629e-02,1.1699e-01,9.9671e-02,3.5121e-01,2.4874e-01,1.0315e+00,2.6639e+00,3.2633e+00
P,4.8940e-05,4.8814e-04,5.6284e-05,1.3168e-04,8.0055e-05,8.4707e-05,1.1698e-04,1.6045e-03,2.6752e-03,3.0684e-03
S,7.9473e-03,2.4037e-02,3.2314e-02,4.1042e-02,5.3811e-02,1.8570e-01,1.1591e-01,3.7504e-01,1.2660e+00,1.5931e+00
Cl,4.6316e-06,5.7876e-05,2.0471e-05,3.5556e-05,1.0738e-04,1.1531e-04,3.8335e-05,3.1211e-04,6.1033e-04,7.1984e-04
Ar,1.4795e-03,3.2953e-03,5.3444e-03,5.8392e-03,1.0055e-02,3.1359e-02,1.9684e-02,4.9843e-02,1.8232e-01,2.3097e-01
K,2.1016e-06,5.3768e-06,8.6696e-06,2.1013e-05,5.3524e-05,8.3773e-05,1.6435e-05,1.4566e-04,2.6496e-04,3.0878e-04
Ca,1.3944e-03,2.9359e-03,4.4322e-03,4.4141e-03,6.2447e-03,2.4815e-02,1.7362e-02,3.7337e-02,1.4885e-01,1.8980e-01
Sc,1.8361e-08,2.1194e-08,4.0312e-08,5.5388e-08,2.5532e-07,6.1634e-07,1.5101e-07,5.8135e-07,1.4197e-06,1.7276e-06
Ti,2.1153e-05,8.0694e-05,9.3763e-05,8.8889e-05,1.0273e-04,1.6565e-04,1.8991e-04,2.6786e-04,4.1051e-04,4.6289e-04
V,1.0141e-06,1.6543e-05,1.0812e-05,1.2356e-05,1.1027e-05,9.0135e-06,1.0586e-05,1.7579e-05,3.1150e-05,3.6134e-05
Cr,3.4524e-04,9.3969e-04,1.1682e-03,1.2189e-03,1.4678e-03,2.9670e-03,3.3411e-03,4.3871e-03,5.4077e-03,5.7825e-03
Mn,5.4642e-05,1.3285e-04,1.8547e-04,1.7391e-04,2.2569e-04,4.3031e-04,5.1575e-04,7.1501e-04,1.4078e-03,1.6622e-03
Fe,1.0464e-02,7.1727e-02,7.2373e-02,7.2287e-02,7.2292e-02,7.3798e-02,7.4577e-02,8.0001e-02,1.0381e-01,1.1255e-01
Co,2.1381e-06,1.7563e-04,1.3195e-04,1.6102e-04,1.4955e-04,1.5658e-05,2.4730e-06,1.8748e-06,3.0512e-06,3.4832e-06
Ni,2.0978e-04,2.5654e-03,2.0759e-03,1.9883e-03,1.7434e-03,4.4209e-04,3.8602e-04,5.7815e-04,2.5023e-03,3.2089e-03
Cu,2.8557e-08,5.1024e-06,3.7844e-06,4.0785e-06,3.5797e-06,1.3101e-07,2.3815e-10,2.0771e-11,1.1855e-11,8.5809e-12
Zn,7.2375e-07,1.2573e-04,1.2273e-04,9.5585e-05,8.3398e-05,2.5601e-06,3.0776e-10,4.4415e-11,1.8525e-11,9.0184e-12
Ga,2.9948e-11,7.8127e-09,5.6188e-09,6.1007e-09,4.9270e-09,8.7665e-11,5.2980e-13,5.6191e-15,8.1924e-13,1.1180e-12
Ge,4.2952e-10,8.9918e-09,6.5704e-09,4.8028e-09,3.9320e-09,7.3674e-12,3.1448e-12,1.9367e-12,1.0225e-11,1.3269e-11
