M,13.0,15.0,18.0,20.0,25.0,30.0,40.0
Mrem,1.6500e+00,1.5300e+00,1.7000e+00,1.8500e+00,1.9100e+00,2.0600e+00,3.1700e+00
H,6.4432e+00,7.4450e+00,8.4634e+00,8.4343e+00,9.8012e+00,1.1046e+01,1.2902e+01
He,3.8552e+00,5.1592e+00,6.5389e+00,5.9395e+00,6.9739e+00,8.3788e+00,1.0853e+01
Li,6.3380e-10,3.7582e-13,5.8331e-13,8.4699e-11,9.1222e-13,1.1167e-12,6.6777e-12
Be,2.3296e-17,9.0582e-16,9.3239e-17,1.4332e-23,2.0522e-25,0.0000e+00,4.0605e-16
B,6.2594e-11,3.2776e-11,3.6005e-11,1.2698e-11,4.1846e-11,1.2338e-11,9.0248e-12
C,1.0739e-01,8.5015e-02,1.2954e-01,1.2817e-01,2.1528e-01,1.2059e-01,7.3948e-02
N,9.0773e-03,3.5763e-03,4.4707e-03,1.2860e-02,9.2051e-03,6.1929e-03,8.6901e-03
O,5.0631e-01,2.9403e-01,4.2246e-01,2.1827e+00,3.8182e+00,5.3283e+00,8.3729e+00
F,3.0710e-06,1.9766e-07,3.3229e-07,2.8049e-06,6.1243e-07,2.3862e-06,4.4734e-06
Ne,6.7509e-02,1.9043e-01,1.7730e-01,6.2795e-01,1.2235e+00,1.4520e+00,2.8812e-01
Na,5.4122e-04,1.9555e-03,2.0861e-03,1.8058e-03,8.0858e-03,6.8595e-03,9.0012e-04
Mg,6.5844e-02,6.5723e-02,6.1211e-02,2.4710e-01,1.8229e-01,2.9378e-01,7.0770e-01
Al,3.5675e-03,2.3484e-03,2.3072e-03,6.9768e-03,5.0466e-03,8.7276e-03,3.0107e-02
Si,9.3171e-02,4.3672e-02,1.5439e-01,1.3000e-01,1.2074e-01,1.6645e-01,8.9756e-01
P,5.3132e-04,8.1204e-05,1.8669e-04,1.9676e-04,1.0698e-04,2.0406e-04,3.4761e-03
S,3.8138e-02,1.6679e-02,7.9760e-02,5.6588e-02,5.5381e-02,7.8548e-02,3.3152e-01
Cl,9.6024e-05,1.0726e-05,1.2287e-04,3.3525e-05,3.3903e-05,5.2693e-05,4.1519e-04
Ar,5.9587e-03,2.4857e-03,1.2640e-02,1.0192e-02,9.3681e-03,1.3634e-02,4.6448e-02
K,2.7502e-05,4.4612e-06,6.7897e-05,1.5957e-05,1.7480e-05,2.7698e-05,1.2665e-04
Ca,4.7611e-03,1.7469e-03,8.0935e-03,9.2083e-03,7.9480e-03,1.1750e-02,3.6637e-02
Sc,2.5212e-07,5.0827e-08,3.5452e-07,2.1587e-07,3.2358e-07,4.2241e-07,9.9190e-07
Ti,1.0777e-04,7.9131e-05,1.1072e-04,1.4574e-04,1.2497e-04,1.7879e-04,2.7894e-04
V,8.9649e-06,1.6158e-05,7.5653e-06,8.2384e-06,7.5299e-06,9.9667e-06,1.9462e-05
Cr,1.3014e-03,3.4521e-04,1.6400e-03,2.3838e-03,2.3245e-03,3.1361e-03,4.3345e-03
Mn,2.2703e-04,8.0053e-05,2.8117e-04,3.7980e-04,2.9856e-04,5.0068e-04,7.8619e-04
Fe,7.5583e-02,7.3254e-02,7.4408e-02,7.4049e-02,7.3927e-02,7.5216e-02,8.2630e-02
Co,8.9124e-05,2.3157e-04,6.2956e-05,6.2074e-05,3.4227e-05,5.3858e-05,4.4209e-05
Ni,2.2981e-03,3.7385e-03,3.2754e-03,7.1093e-04,4.1289e-04,7.0997e-04,1.0567e-03
Cu,1.2902e-05,6.3540e-06,3.9210e-06,1.7698e-05,2.9321e-05,4.1994e-05,4.3037e-05
Zn,8.9570e-05,6.9656e-05,6.1924e-05,3.4855e-05,5.0790e-05,8.4675e-05,1.1128e-04
Ga,1.3456e-06,1.2552e-07,1.9034e-07,2.3290e-06,4.3451e-06,7.5658e-06,1.0187e-05
Ge,5.5561e-06,4.1037e-07,5.7619e-07,8.5059e-06,1.7784e-05,3.2889e-05,4.9415e-05
