M,1.00,1.25,1.50,1.75,1.90,2.00,2.25,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,9.0,9.25,9.5,9.75,10.0,10.25,10.5,10.75,11.0,11.25,11.5,11.75,12.0,12.25,12.5,12.75,13.0,13.1,13.2,13.3,13.4,13.5,13.6,13.7,13.8,13.9,14.0,14.1,14.2,14.3,14.4,14.5,14.6,14.7,14.8,14.9,15.2,15.7,15.8,16.0,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,17.0,17.1,17.3,17.4,17.5,17.6,17.9,18.1,18.2,18.3,18.4,18.5,19.2,19.3,19.7,19.8,20.1,20.2,20.3,20.4,20.5,20.8,21.0,21.1,21.2,21.5,21.6,25.2,25.4,25.5,25.6,25.7,25.8,25.9,26.0,26.1,26.2,26.3,26.4,26.5,27.0,27.1,27.2,27.3,60,120
H,0.29179156,0.45269319,0.60623962,0.76891685,0.86273539,0.92530721,1.0786533,1.2335814,1.5249571,1.8198951,2.1436353,2.4007888,2.6526232,2.8888535,3.1366744,3.3890154,4.72,4.83,4.95,5.06,5.17,5.27,5.34,5.43,5.53,5.69,5.92,5.96,6.05,6.14,6.22,6.31,6.39,6.39,6.45,6.5,6.52,6.54,6.56,6.61,6.64,6.7,6.71,6.73,6.8,6.84,6.86,6.85,6.94,6.95,7.03,7.07,7.08,7.3,7.36,7.34,7.48,7.46,7.54,7.58,7.6,7.61,7.66,7.7,7.74,7.77,7.8,7.85,7.87,7.92,7.95,8.05,8.11,8.14,8.17,8.2,8.21,8.44,8.47,8.58,8.61,8.71,8.74,8.76,8.79,8.82,8.9,8.98,9.01,9.03,9.12,9.15,10.1,10.3,10.3,10.4,10.4,10.4,10.4,10.5,10.5,10.5,10.6,10.6,10.6,10.8,10.8,10.8,10.8,20.2,35.9
He,0.1358522754499999,0.21033955331,0.27647713535,0.34427254586,0.3828618152199999,0.40856005126,0.47978701589,0.56212830625,0.73118864706,0.88516629852,0.98922591575,1.1636854734300002,1.375408713085,1.5996722914613,1.8175783861561,2.0252701275466,2.74,2.82,2.9,2.99,3.06,3.16,3.27,3.37,3.46,3.54,3.57,3.63,3.7,3.78,3.84,3.94,4.02,4.02,4.05,4.1,4.14,4.17,4.19,4.22,4.24,4.3,4.32,4.35,4.39,4.41,4.43,4.46,4.51,4.53,4.57,4.59,4.67,4.84,4.86,4.93,4.97,4.99,5.02,5.05,5.08,5.11,5.13,5.17,5.19,5.23,5.26,5.32,5.34,5.38,5.41,5.52,5.57,5.6,5.64,5.67,5.68,5.91,5.93,6.09,6.11,6.17,6.22,6.27,6.29,6.33,6.39,6.45,6.49,6.52,6.57,6.63,7.72,7.72,7.77,7.76,7.8,7.88,7.85,7.9,7.93,7.94,7.96,7.97,8.03,8.1,8.16,8.24,8.24,22.3,64.2
Li,2.4030611e-09,7.5090062e-10,3.0515988e-09,3.3487577e-09,5.3986327e-10,7.1649875e-10,4.372442e-09,4.9689928e-09,5.3366227e-09,1.6001639e-10,1.5108609e-10,6.2222858e-09,2.4072216e-08,1.2253049e-08,8.9372181e-09,1.2458946e-08,1.19e-07,1.65e-07,2.23e-07,2.54e-07,2.55e-07,2.73e-07,2.85e-07,3.03e-07,3.49e-07,3.32e-07,3.09e-07,4.54e-07,4.37e-07,3.85e-07,3.86e-07,4.06e-07,4.11e-07,3.83e-07,3.81e-07,3.84e-07,3.84e-07,3.73e-07,3.59e-07,3.61e-07,3.67e-07,3.69e-07,3.74e-07,3.79e-07,3.83e-07,3.81e-07,3.85e-07,3.21e-07,3.86e-07,3.28e-07,3.58e-07,3.26e-07,3.7e-07,3.65e-07,3.81e-07,3.62e-07,3.33e-07,3.6e-07,3.55e-07,3.57e-07,3.61e-07,3.59e-07,3.58e-07,3.57e-07,3.58e-07,3.66e-07,3.61e-07,3.79e-07,3.83e-07,3.82e-07,3.84e-07,2.78e-07,2.89e-07,2.78e-07,2.95e-07,2.98e-07,3.79e-07,3.81e-07,3.61e-07,3.15e-07,2.85e-07,3.1e-07,3.14e-07,2.77e-07,3.36e-07,3.48e-07,4.46e-07,3.79e-07,3.77e-07,3.93e-07,4.08e-07,4.61e-07,2.57e-07,3e-07,2.7e-07,3.07e-07,3.14e-07,3.32e-07,2.53e-07,2.37e-07,2.67e-07,2.62e-07,2.79e-07,2.7e-07,2.63e-07,3.3e-07,3.01e-07,3.04e-07,3.32e-07,1.09e-07,1.24e-07
Be,4.0740918e-12,5.8754618e-13,4.3489181e-13,3.1671383e-13,3.3869305e-13,2.8694535e-13,2.5217765e-13,6.9864023e-14,2.7952978e-14,2.7642151e-14,3.4087457e-12,1.8476388e-09,3.4971883e-08,1.7811663e-08,1.3017448e-08,1.6748201e-08,2.32e-10,2.43e-10,2.67e-10,2.58e-10,2.54e-10,2.53e-10,2.42e-10,2.47e-10,2.59e-10,2.52e-10,3.44e-10,3.91e-10,3.74e-10,3.65e-10,3.66e-10,3.68e-10,3.73e-10,9.81e-11,9.83e-11,9.94e-11,9.95e-11,9.83e-11,9.72e-11,9.77e-11,9.83e-11,9.96e-11,9.95e-11,9.96e-11,1e-10,1.01e-10,1.01e-10,1.05e-10,1.03e-10,1.06e-10,1.04e-10,1.07e-10,1.13e-10,1.17e-10,1.24e-10,1.2e-10,1.17e-10,1.21e-10,1.21e-10,1.21e-10,1.22e-10,1.22e-10,1.21e-10,1.22e-10,1.22e-10,1.23e-10,1.22e-10,1.2e-10,1.2e-10,1.19e-10,1.2e-10,1.05e-10,1.06e-10,1.05e-10,1.07e-10,1.07e-10,1.18e-10,1.26e-10,1.19e-10,1.09e-10,1.09e-10,1.18e-10,1.11e-10,1.14e-10,1.13e-10,1.15e-10,1.23e-10,1.2e-10,1.2e-10,1.21e-10,1.32e-10,1.35e-10,1.18e-10,1.22e-10,1.2e-10,1.18e-10,1.19e-10,1.21e-10,1.2e-10,1.22e-10,1.24e-10,1.24e-10,1.26e-10,1.26e-10,1.26e-10,1.29e-10,1.29e-10,1.28e-10,1.27e-10,2.47e-10,4.7e-10
B,2.6669912000000003e-27,9.4740908e-27,2.0495579e-25,4.1181086e-25,2.5497624e-25,2.9018961e-25,3.6989863e-25,6.260642999999999e-26,3.9614005e-28,2.0181877e-29,4.0950817000000005e-27,9.1175547e-25,1.1355082e-23,4.9180732e-24,4.0454085e-24,1.0242085e-23,1.6e-07,2.55e-07,3.99e-07,4.31e-07,4.3e-07,4.26e-07,4.71e-07,5.1e-07,6.56e-07,5.98e-07,5.1e-07,8.2e-07,4.42e-07,5.23e-07,5.36e-07,5.78e-07,6.23e-07,4.8e-07,4.85e-07,5.12e-07,5.32e-07,5.21e-07,5.63e-07,5.61e-07,5.8e-07,5.9e-07,5.95e-07,6.09e-07,6.1e-07,6.27e-07,6.38e-07,8.67e-07,6.58e-07,8.3e-07,6.88e-07,8.41e-07,1.08e-06,1.19e-06,1.29e-06,1.27e-06,1.18e-06,1.29e-06,1.32e-06,1.31e-06,1.34e-06,1.35e-06,1.35e-06,1.38e-06,1.38e-06,1.43e-06,1.44e-06,1.27e-06,1.29e-06,1.28e-06,1.28e-06,8.14e-07,8.66e-07,8.08e-07,9.5e-07,9.73e-07,1.12e-06,1.55e-06,1.2e-06,8.34e-07,8.13e-07,1.56e-06,9.05e-07,1.43e-06,9.62e-07,1.02e-06,1.44e-06,1.3e-06,1.35e-06,1.58e-06,1.87e-06,2.05e-06,1.62e-06,1.88e-06,1.64e-06,1.34e-06,1.24e-06,1.26e-06,1.55e-06,1.68e-06,1.87e-06,1.87e-06,2.12e-06,2.21e-06,2.17e-06,2.35e-06,2.48e-06,2.47e-06,2.59e-06,2.26e-06,1.84e-06
C,0.001188860411,0.001652404484,0.0020183286,0.00242487783,0.00270604454,0.0028911366799999,0.0043157739041069,0.009550566089219,0.0209339155620479,0.027378547336663,0.019212613667332,0.019965134131185,0.017862691047257,0.008263151672032,0.006271126340795,0.006291284029933,0.0326,0.04,0.0449,0.0517,0.0609,0.0651,0.0727,0.0791,0.0832,0.084,0.0829,0.092,0.0973,0.105,0.109,0.114,0.121,0.116,0.118,0.119,0.123,0.124,0.127,0.128,0.133,0.132,0.136,0.139,0.139,0.142,0.143,0.154,0.15,0.155,0.155,0.158,0.176,0.184,0.189,0.193,0.193,0.199,0.201,0.199,0.201,0.207,0.205,0.209,0.209,0.213,0.215,0.202,0.204,0.204,0.205,0.199,0.203,0.203,0.207,0.209,0.21,0.246,0.223,0.218,0.215,0.274,0.223,0.294,0.23,0.235,0.238,0.247,0.249,0.261,0.301,0.3,0.391,0.401,0.396,0.349,0.34,0.337,0.403,0.407,0.417,0.421,0.432,0.439,0.445,0.474,0.467,0.462,0.466,7.34,11.1
N,0.0006631504825,0.0012529531939999,0.0018804916544,0.0025077704436,0.0028150890056,0.0030243468028,0.0036942010566,0.0043098330774999,0.0056616511234999,0.0071180269791999,0.0086318952642,0.0104612474588899,0.01642645056333,0.03906971159912,0.04182413311172,0.0427109756559999,0.0223,0.0228,0.0233,0.023,0.0232,0.0237,0.0241,0.0252,0.0264,0.0263,0.025,0.0269,0.0292,0.0296,0.0299,0.0308,0.0314,0.0313,0.0315,0.032,0.0325,0.0324,0.0325,0.0328,0.033,0.0337,0.0341,0.0341,0.0346,0.0346,0.0348,0.0331,0.0355,0.0347,0.0356,0.035,0.0354,0.0358,0.0357,0.035,0.0362,0.0361,0.0369,0.0367,0.0369,0.0369,0.0375,0.038,0.0379,0.0387,0.0385,0.0395,0.0394,0.0406,0.0407,0.0418,0.0428,0.0427,0.043,0.0431,0.044,0.0453,0.0462,0.0478,0.0472,0.0471,0.0479,0.0485,0.0489,0.0492,0.05,0.0502,0.0505,0.0513,0.0511,0.0524,0.0628,0.0634,0.0637,0.0638,0.0651,0.0662,0.0651,0.0654,0.0662,0.0661,0.0664,0.0663,0.0681,0.0697,0.0693,0.0706,0.0702,0.196,0.499
O,0.0041965701183,0.0065053791553,0.0086595609975,0.010925002933,0.0122242305409999,0.013088346657,0.015145123226,0.017311603461,0.021236376133,0.025128050032,0.029243450164,0.032809895771,0.0359942178933,0.03827718690498,0.04077411493557,0.04364788695067,0.0623,0.0713,0.0844,0.0786,0.1,0.118,0.16,0.186,0.201,0.22,0.209,0.276,0.337,0.299,0.358,0.373,0.404,0.553,0.567,0.558,0.576,0.602,0.614,0.624,0.655,0.631,0.674,0.708,0.704,0.719,0.739,0.78,0.753,0.784,0.781,0.793,1.02,1.08,1.07,1.17,1.14,1.18,1.17,1.19,1.21,1.25,1.26,1.27,1.3,1.31,1.33,1.48,1.54,1.53,1.55,1.6,1.63,1.68,1.68,1.69,1.91,1.93,2.04,2.17,2.2,2.01,2.31,2.09,2.36,2.42,2.45,2.51,2.52,2.41,2.53,2.52,3.59,3.55,3.6,3.81,3.98,3.98,3.73,3.72,3.74,3.76,3.78,3.81,3.83,4.06,4.07,4.07,4.11,6.53,4.33
F,1.7698856e-07,2.7540676e-07,3.6713874e-07,4.6285214e-07,5.1665171e-07,5.5231231e-07,7.3585437e-07,1.5047432e-06,4.348728e-06,6.8486506e-06,3.554861e-06,3.4222649e-06,3.6023453e-06,2.1893786e-06,1.2431848e-06,1.0530908e-06,4.7e-06,4.35e-06,5.27e-06,5.24e-06,5.44e-06,9.84e-06,4.3e-05,3.79e-05,3.85e-05,6.35e-05,7.66e-05,3.58e-05,9.02e-06,5.57e-06,6.36e-06,6.24e-06,6.46e-06,9.24e-06,9.42e-06,9.42e-06,1e-05,1.01e-05,9.83e-06,1.06e-05,1.05e-05,1.11e-05,1.12e-05,1.24e-05,1.14e-05,1.3e-05,1.31e-05,2.22e-05,2.23e-05,2.35e-05,2.01e-05,2.37e-05,2.92e-05,3.16e-05,3.46e-05,3.47e-05,3.08e-05,3.46e-05,3.46e-05,3.61e-05,3.68e-05,3.68e-05,3.72e-05,3.77e-05,3.87e-05,3.89e-05,3.91e-05,3.72e-05,3.79e-05,4.15e-05,4.08e-05,1.85e-05,2.07e-05,2.04e-05,2.27e-05,2.35e-05,3.56e-05,4.58e-05,4.55e-05,8.55e-06,8.52e-06,2.91e-05,9.9e-06,3.49e-05,9.88e-06,1.27e-05,5.98e-05,5.37e-05,5.37e-05,5.87e-05,5.51e-05,5.78e-05,2.77e-05,3.35e-05,3.02e-05,2.19e-05,1.47e-05,1.57e-05,4.08e-05,4.9e-05,5.49e-05,5.56e-05,6.69e-05,7.03e-05,6.88e-05,7.96e-05,7.99e-05,8.09e-05,8.7e-05,7.13e-05,0.000276
