M,6.0,7.0,9.0,12.0,15.0,20.0
Mrem,1.3,1.3,1.354,1.505,1.802,2.069
H,3.126,3.571,4.424,5.573,6.612,8.166
He,1.569,2.105,2.774,3.646,4.408,5.581
C,9.932e-05,9.402e-05,0.04473,0.08486,0.1067,0.1417
N,0.0005056,0.0007046,0.0009034,0.001245,0.001448,0.002117
O,0.000723,0.0008025,0.1399,0.6703,1.407,3.034
Ne,3.247e-05,3.912e-05,0.009473,0.1083,0.09926,0.1
Mg,5.511e-05,6.683e-05,0.005623,0.02911,0.02684,0.07592
Si,7.006e-05,8.496e-05,0.03078,0.08631,0.1997,0.34
S,3.77e-05,4.572e-05,0.01377,0.04387,0.1176,0.1719
Ca,6.792e-06,8.237e-06,0.002601,0.007909,0.01569,0.01635
Fe,0.0001242,0.0001507,0.0773,0.07854,0.04798,0.07854
Other,0.003345748000000981,0.0220033130000008,0.12291959999999946,0.16555600000000226,0.1557820000000003,0.22347300000000203
