M,Z=0.02,Z=0.01,Z=0.002,Z=0.0002
C,0.0030400174,0.00310000847,0.00315000191,0.0031600002720000003
N,3.2136700000000003e-06,1.8020699999999999e-06,4.7398e-07,1.595e-07
O,0.10100041653000001,0.09870028623,0.09640009441,0.09470000642300001
F,4.39e-11,2.2e-11,1.48e-11,4.79e-11
Ne,0.003571111,0.003616697,0.0036923447,0.00374017793
Na,3.74e-05,2.63e-05,1.96e-05,1.72e-05
Mg,0.0153615,0.0202753,0.02691796,0.029001939
Al,0.000674,0.000588,0.000268,8.71e-05
Si,0.2873899999999999,0.291918,0.29457399999999995,0.28915339999999995
P,0.000577,0.000358,0.000105,3.54e-05
S,0.115379247,0.11409903860000001,0.11236400164,0.1150528400173
Cl,0.00021309999999999998,0.00012179999999999999,3.554e-05,9.17e-06
Ar,0.01961000521,0.019331000465999996,0.01931900000987,0.020405400000051102
K,0.00011308,6.635e-05,2.032e-05,4.062e-06
Ca,0.014751561248507848,0.01572752350224504,0.01661388622059285,0.01771279493058682
Sc,2.05e-07,1.43e-07,7.69e-08,3.94e-08
Ti,0.00036196499999999995,0.000373529,0.00038741,0.000394394
V,0.00010500556,7.650301e-05,3.99023e-05,2.620228e-05
Cr,0.010261260999999999,0.010253700000000001,0.0103225,0.010363399999999998
Mn,0.00929,0.0111,0.00873,0.00784
Fe,0.7402802,0.7445784999999999,0.7488772,0.7510770000000001
Co,0.000534,0.000509,0.00044,0.000753
Ni,0.0739876383,0.0642214372,0.056490236500000006,0.0556121363
Cu,4.582e-07,4.1679999999999997e-07,3.396e-06,1.3045e-05
Zn,3.11181400223e-06,3.65107800216e-06,1.7929418002100002e-05,2.683732400209e-05
